	Workload ID	Workload Name	Core Mask	Frequency A7	Frequency A15	Workload Duration	Number of Iterations	Samples Averaged	Status	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Temperature C4	Temperature C5	Temperature C6	Temperature C7	Average Temperature A15	Core 0 CycleCount	Core 0 Event 0x14	Core 0 Event 0x16	Core 0 Event 0x13	Core 0 Event 0x0f	Core 1 CycleCount	Core 1 Event 0x14	Core 1 Event 0x16	Core 1 Event 0x13	Core 1 Event 0x0f	Core 2 CycleCount	Core 2 Event 0x14	Core 2 Event 0x16	Core 2 Event 0x13	Core 2 Event 0x0f	Core 3 CycleCount	Core 3 Event 0x14	Core 3 Event 0x16	Core 3 Event 0x13	Core 3 Event 0x0f	Core 4 CycleCount	Core 4 Event 0x1b	Core 4 Event 0x50	Core 4 Event 0x6a	Core 4 Event 0x73	Core 4 Event 0x14	Core 4 Event 0x19	Core 5 CycleCount	Core 5 Event 0x1b	Core 5 Event 0x50	Core 5 Event 0x6a	Core 5 Event 0x73	Core 5 Event 0x14	Core 5 Event 0x19	Core 6 CycleCount	Core 6 Event 0x1b	Core 6 Event 0x50	Core 6 Event 0x6a	Core 6 Event 0x73	Core 6 Event 0x14	Core 6 Event 0x19	Core 7 CycleCount	Core 7 Event 0x1b	Core 7 Event 0x50	Core 7 Event 0x6a	Core 7 Event 0x73	Core 7 Event 0x14	Core 7 Event 0x19	Average Utilisation	Core 0 Utilisation	Core 1 Utilisation	Core 2 Utilisation	Core 3 Utilisation	Core 4 Utilisation	Core 5 Utilisation	Core 6 Utilisation	Core 7 Utilisation	A7 Average Utilisation	A15 Average Utilisation	Average A7 CycleCount	Average A7 Event 0x14	Average A7 Event 0x16	Average A7 Event 0x13	Average A7 Event 0x0f	Average A15 CycleCount	Average A15 Event 0x1b	Average A15 Event 0x50	Average A15 Event 0x6a	Average A15 Event 0x73	Average A15 Event 0x14	Average A15 Event 0x19
0	0	idle	4,5,6,7	1000	200	30.335541	-1	143		1.09371503497	0.915323426573	0.0907848811189	0.100414909091	1.21085664336	0.0195828251748	0.99375	0.102306776224	50.048951049	49.013986014	53.0	49.7972027972	50.465034965	22135696.3821	4285320.37732	382034.584559	2930831.56677	191.970254135	8294158.28481	1504487.44715	131074.309468	968969.711862	111.399574923	5401052.75945	815697.483747	75173.2166028	509363.258016	122.805143902	8295494.66828	1403150.06306	112134.952155	797682.077018	963.046551576	3499296.49257	2326540.2095	53825.0880594	18898.2891677	1198808.26676	976613.453802	12165.9570374	1460418.31829	681811.436585	22171.9327435	5336.65353944	356398.673696	298365.272311	5331.65660119	2248576.55346	1162802.14238	37459.4539964	9424.86898011	611393.450967	513974.890861	9293.8264227	14493141.162	9486796.72612	240285.666622	80318.3195331	4976653.33351	4250953.44306	32819.0768055	1.49155673239	0.887703080046	0.405601589407	0.396312727446	0.812414298	1.78927386509	0.908348161702	0.692044123662	6.06044600724	0.625507923725	2.36252803942	11031600.5237	2002163.84282	175104.265696	1301711.65342	347.305381134	5425358.13157	3414487.62865	88435.5353554	28494.5328051	1785813.43123	1509976.76501	14902.6292167
1	1	basicmath	4,5,6,7	1000	200	30.286527	-1	140		1.09377678571	0.914848214286	0.0945089928571	0.156566328571	1.211125	0.0212166214286	0.99375	0.102300278571	50.8428571429	49.3071428571	53.0	50.0	50.7875	68677063.2345	14319961.2712	1179450.61039	10465174.3838	67.4182274237	12819360.0293	2604183.2364	208857.952251	1826645.44861	15.3150259268	6193427.35654	1167314.90275	101652.559352	826102.827775	24.3995612208	1771923.35298	272904.10369	29098.2199342	195435.631694	15.0079990868	148491271.421	198365922.491	1122214.18802	810385.917975	107845373.257	57700838.9715	220800.298689	19356254.4141	21888077.9669	173538.101735	100523.135699	11517584.1774	6724046.84531	27146.941727	2135123.00212	838211.334621	27581.2066857	6931.36499274	446188.041581	376878.741543	6522.44538077	14183017.264	9024962.90584	229158.283937	76442.6154489	4745022.00003	4054749.08512	46398.88608	11.4119753761	2.02120654774	0.468481119607	0.196972014795	0.0332225913621	74.4614916035	8.92071514398	0.066143236854	4.8979887306	0.679970568375	22.0865846787	22365443.4933	4591090.87852	379764.835482	3328339.57297	30.5352034145	46041416.5254	57529293.6745	388122.945096	248570.758529	31138541.869	17214128.4109	75217.1429692
2	2	bitcount-small	4,5,6,7	1000	200	30.285453	-1	140		1.09375892857	0.914669642857	0.0917671714286	0.155803878571	1.21075	0.0203555714286	0.993741071429	0.102285357143	50.6285714286	49.5071428571	53.1785714286	50.0	50.8285714286	35251270.0595	7011311.64132	601971.346893	5052053.7015	29.6963587324	9522994.20965	1824543.10847	161123.230919	1302439.87741	12.4283323152	7471726.20078	1099585.49232	111847.252307	806475.07968	22.8039674228	1780256.49774	226929.675706	24591.7687157	165092.773007	5.36961618834	79008296.7514	136729647.497	101465.91162	26723.3831346	113072709.061	25103352.4328	22220.4550717	58822968.4345	99588009.6125	91438.5177691	24123.4425251	81534512.7298	18998658.6882	19651.6758932	48811563.14	81161443.1655	94919.3174577	24946.09143	65895663.8007	15882637.1731	19441.3459818	21791891.7936	19492292.1704	266619.560282	85789.2391701	12144940.8737	7137337.44971	38313.3337293	12.8077145902	0.991012541205	0.102126616182	0.328559148515	0.0329163923634	38.9037952995	29.1718532323	23.6313283696	9.23013537318	0.363653674566	25.2342780686	13506561.7419	2540592.47945	224883.399708	1831515.3579	17.5745686647	52108680.0299	84242848.1113	138610.826782	40395.5390649	68161956.6163	16780496.436	24906.702669
3	3	qsort	4,5,6,7	1000	200	30.288306	-1	140		1.09375	0.914901785714	0.0959185571429	0.1550014	1.21097321429	0.0264125071429	0.993678571429	0.102273114286	50.8071428571	49.7	53.0285714286	50.0	50.8839285714	75836562.9379	15675172.7906	1307276.77243	11502261.7381	34.3781784544	13989924.6648	2573042.5867	225968.516829	1839783.64237	40.8813960554	8819493.46483	1620832.35237	145997.568174	1173147.76713	35.900358968	5298600.51646	897854.477881	82782.2650207	643825.728874	33.5552004017	61226831.9018	79621484.0337	453873.109361	222073.965718	41324017.0913	22643281.2243	390771.379882	92403156.0402	134284199.075	449303.188546	439727.491635	66174294.9992	36850973.0599	392558.946311	8757529.14131	9906704.59032	66750.1642368	36186.1577007	4866970.55599	2897897.74677	46554.8977763	15716542.1884	9751216.34155	260286.131803	82302.2199308	5123270.87152	4355571.62821	127504.052385	10.919864922	1.63393712711	0.455035945694	0.204862719242	0.131382798969	30.3577567495	44.4082896727	4.02706857333	5.69147314771	0.606304647755	21.1211470358	25986145.396	5191725.55189	440506.280613	3789754.71911	36.1787834699	44526014.8179	58390901.0101	307553.148487	195072.458746	29372138.3795	16686930.9148	239347.319089
4	4	susan-smoothing	4,5,6,7	1000	200	30.288226	-1	141		1.09378546099	0.914955673759	0.0902275531915	0.170254695035	1.21120567376	0.0204060425532	0.993696808511	0.102274617021	50.8226950355	49.609929078	53.2127659574	50.0	50.9113475177	21343023.5232	3974213.89272	364653.807017	2816155.41956	23.1364947902	5184081.23673	920830.071057	84867.1761027	630335.319855	26.5986024493	4849496.42126	691365.805523	72501.8668895	500138.243417	27.5800682851	1805587.66533	258821.831745	27653.7339461	185000.927791	7.75434635941	87731032.5871	139737243.187	132925.574194	33415.2381501	79901615.8359	42214764.7522	52475.8560759	61681668.9146	97371861.1631	102947.542205	26766.5745038	55651427.2376	29457678.0045	41124.2442319	47494879.4228	73703236.8372	99587.1421459	25923.3670154	42092709.8125	22390522.9859	41954.5187411	21767915.6744	19268406.6239	283831.827893	94173.567013	10486624.7372	7358660.66627	76473.6017479	13.312548955	0.548282406447	0.2799132923	0.0890228380463	0.0329869701468	42.7746955309	31.2201719728	22.1444987595	9.32004335229	0.237551376735	26.3648524039	8295547.21162	1461307.90026	137419.145989	1032907.47766	21.267377971	54668874.1497	82520186.9529	154823.02161	45069.6866706	47033094.4058	25355406.6022	53007.0551992
5	5	susan-edges	4,5,6,7	1000	200	30.289685	-1	141		1.09383865248	0.914946808511	0.0917153333333	0.172553539007	1.2112322695	0.0285484255319	0.993732269504	0.102277539007	50.9716312057	49.9007092199	53.2411347518	50.0	51.0283687943	32148620.8734	5749335.04625	537783.42023	4156633.93627	20.7547183692	18589651.4493	2724823.09479	267028.715764	1963407.38585	80.0214731574	3741020.83869	398547.817773	46839.6092458	290760.770526	17.1907157414	2041860.99961	147125.254602	18212.044007	111925.538682	5.00897268126	59045629.3328	92112098.6321	338798.918385	74573.7731622	47221573.1828	21449359.4364	251336.41084	59319691.4734	92617326.3517	325034.74882	74172.3158507	46776904.6396	21427657.2546	287073.119825	62610947.1236	96725180.0067	360228.52002	86358.1185051	48834929.6711	22590544.6422	298928.110858	40760812.8269	48194293.8331	411722.852323	116326.15876	23595951.2648	13185392.319	283964.756794	13.2779360023	0.845627447399	0.840895476466	0.0988110277861	0.0	28.0993196251	28.1990640039	29.5002808426	18.7799930789	0.446333487913	26.1446643876	14130288.5403	2254957.80335	217465.947312	1630681.90783	30.7439699873	55434270.1892	82412224.7059	358946.259887	87857.5915696	41607339.6896	19663238.413	280325.599579
6	6	susan-corners	4,5,6,7	1000	200	30.289986	-1	141		1.09375886525	0.914946808511	0.0938829716312	0.169771744681	1.21119680851	0.0333142553191	0.993758865248	0.102414283688	51.0	49.9929078014	53.1914893617	50.0	51.0460992908	45972590.0726	8256824.4484	752801.968137	5938230.95081	8.33769942041	8471983.63386	1110651.65445	113122.629574	786366.645995	18.909117185	4052508.3062	288133.369489	34513.0904265	211385.783352	9.10934836913	25495017.556	3434987.64118	339508.589157	2524061.76052	119.566306824	60784862.172	77370208.038	565938.897329	160895.746032	35563250.8778	20033573.9369	592596.615106	59874108.2988	77117875.6706	533225.778255	154463.038876	35204422.8273	19824758.4204	612859.165735	55726112.3613	70817394.0859	504757.14545	145381.86375	32372971.5352	18307573.3561	581207.397099	52331923.7502	56956352.6892	592830.722955	178000.24222	26463396.1493	16549459.4639	537276.122708	13.4716923251	1.15136711064	0.0995193215026	0.0659739402936	1.18076869258	27.800275524	28.2582363371	25.6579664206	23.6445491135	0.624407266254	26.3402568488	20998024.8922	3272649.27838	309986.569324	2365011.28517	38.9806179498	57179251.6456	70565457.6209	549188.135997	159685.222719	32401010.3474	18678841.2943	580984.825162
7	7	jpeg-encode	4,5,6,7	1000	200	30.289259	-1	138		1.09376811594	0.914990942029	0.0912995869565	0.165194543478	1.21114130435	0.0264997898551	0.993713768116	0.102283210145	50.7898550725	49.7753623188	53.1811594203	50.0	50.9365942029	24074334.2466	4401939.52066	410929.873318	3188239.82805	5.38403407396	6486256.79893	1074518.45891	101101.19792	743716.004068	82.7052339522	10669157.2396	1503481.31907	151236.113857	1080642.08112	68.218260158	2383614.75374	273908.785845	30349.1256503	199589.325372	9.37779154283	71063040.6634	112758625.22	430260.878989	65231.652221	53239417.0484	20391869.104	239564.861677	52596017.1998	81204640.8876	354441.353283	61532.6097261	39433592.5525	15556002.6471	223018.745345	48614611.0419	74965682.7417	329241.929067	56769.7578977	36490716.1434	14422092.039	214344.321943	30213065.8954	31102742.2529	410743.213605	115097.95167	16890871.6612	9538907.35791	234511.957972	12.1814583398	0.484854179108	0.171716434858	0.484242432878	0.0725216085103	34.4121563179	25.1749199703	23.1896503677	13.6489637124	0.303333663838	24.1064225921	10903340.7597	1813462.02112	173404.077686	1303046.80965	41.4213299318	50621683.7001	75007922.7755	381171.843736	74657.9928787	36513649.3514	14977217.787	227859.971734
8	8	jpeg-decode	4,5,6,7	1000	200	30.291248	-1	139		1.09375	0.914910071942	0.0996359928058	0.130301913669	1.21076438849	0.0249529064748	0.99375	0.102279	50.3669064748	49.1223021583	53.0	50.0	50.6223021583	128094567.6	26901718.422	2218544.44299	19748858.2344	1.25720386761	12274029.1609	2274159.84156	200973.316366	1641600.8294	24.9529136456	19726269.5681	3274226.22463	304276.133806	2387517.02483	48.8764288086	3385404.14633	452035.321625	45702.5994645	332722.521341	5.26746063083	32677896.1325	32374720.5353	480659.704624	119817.337345	15924973.4158	7982158.27961	215609.085783	27710783.0933	27130349.286	405477.618116	100010.389725	13360675.6787	6734686.75936	165934.026825	28309657.8063	27215473.366	419734.010679	105479.353378	13435990.3859	6910393.21085	165536.512105	28113007.2959	22003139.6486	447943.493035	128339.013926	11162729.055	7420341.85887	145034.245874	6.88472002166	2.86730864464	0.250823683338	0.756465693465	0.054458597624	14.6099290497	11.8935924736	12.6985483762	11.802175272	0.982264154766	12.7510612929	40870067.6188	8225534.95244	692374.123156	6027674.6525	20.0885017382	29202836.082	27180920.709	438453.706614	113411.523593	13471092.1339	7261895.02717	173028.467646
9	9	typeset	4,5,6,7	1000	200	30.288269	-1	139		1.09375	0.914073741007	0.0902629280576	0.164401683453	1.21082733813	0.0249805899281	0.99375	0.102300431655	50.964028777	49.5971223022	53.0431654676	50.0	50.9010791367	18785080.9328	3556033.72332	329392.080264	2543645.94784	31.8880985913	7716311.09285	1352680.88439	126938.11477	942117.935544	30.7977375698	1931403.68017	274302.629535	31049.7068029	197089.883962	12.4750026541	2338238.22071	350165.209774	37033.6539736	253284.127577	13.7092190306	134505227.845	142931555.258	2245514.48546	816367.880107	56965233.9369	38363930.9218	494052.474871	49563672.0881	53925641.5918	818045.011284	276797.010372	22245272.5853	15229927.8752	292029.544268	11625229.9992	11128270.457	193561.723099	62806.573921	4683479.12621	3298226.12844	63017.862488	16339476.8837	11025031.6746	273427.374191	85884.9204873	5630545.37372	4708067.86666	142155.527979	12.6749048438	0.333653906666	0.266086078049	0.043500083654	0.0333066879829	64.5492256919	25.1103219495	4.79982731237	5.94245696237	0.169136689088	25.100457979	7692758.48164	1383295.61175	131103.388953	984034.473732	22.2175144614	53008401.7039	54752624.7454	882637.148507	310464.096222	22381132.7555	15400038.198	247813.852402
