	Workload ID	Workload Name	Core Mask	Frequency A7	Frequency A15	Workload Duration	Number of Iterations	Samples Averaged	Status	Voltage A7	Voltage A15	Power A7	Power A15	Voltage Memory	Power Memory	Voltage GPU	Power GPU	Temperature C4	Temperature C5	Temperature C6	Temperature C7	Average Temperature A15	Core 0 CycleCount	Core 0 Event 0x14	Core 0 Event 0x16	Core 0 Event 0x13	Core 0 Event 0x0f	Core 1 CycleCount	Core 1 Event 0x14	Core 1 Event 0x16	Core 1 Event 0x13	Core 1 Event 0x0f	Core 2 CycleCount	Core 2 Event 0x14	Core 2 Event 0x16	Core 2 Event 0x13	Core 2 Event 0x0f	Core 3 CycleCount	Core 3 Event 0x14	Core 3 Event 0x16	Core 3 Event 0x13	Core 3 Event 0x0f	Core 4 CycleCount	Core 4 Event 0x1b	Core 4 Event 0x50	Core 4 Event 0x6a	Core 4 Event 0x73	Core 4 Event 0x14	Core 4 Event 0x19	Core 5 CycleCount	Core 5 Event 0x1b	Core 5 Event 0x50	Core 5 Event 0x6a	Core 5 Event 0x73	Core 5 Event 0x14	Core 5 Event 0x19	Core 6 CycleCount	Core 6 Event 0x1b	Core 6 Event 0x50	Core 6 Event 0x6a	Core 6 Event 0x73	Core 6 Event 0x14	Core 6 Event 0x19	Core 7 CycleCount	Core 7 Event 0x1b	Core 7 Event 0x50	Core 7 Event 0x6a	Core 7 Event 0x73	Core 7 Event 0x14	Core 7 Event 0x19	Average Utilisation	Core 0 Utilisation	Core 1 Utilisation	Core 2 Utilisation	Core 3 Utilisation	Core 4 Utilisation	Core 5 Utilisation	Core 6 Utilisation	Core 7 Utilisation	A7 Average Utilisation	A15 Average Utilisation	Average A7 CycleCount	Average A7 Event 0x14	Average A7 Event 0x16	Average A7 Event 0x13	Average A7 Event 0x0f	Average A15 CycleCount	Average A15 Event 0x1b	Average A15 Event 0x50	Average A15 Event 0x6a	Average A15 Event 0x73	Average A15 Event 0x14	Average A15 Event 0x19
0	0	idle	4,5,6,7	1000	200	30.287559	-1	140		1.08	0.917428571429	0.0680785714286	0.102533542857	1.2106875	0.0279464428571	0.990223214286	0.104725492857	48.4428571429	48.8785714286	50.5857142857	48.05	48.9892857143	16624595.4854	3474532.68171	302457.189064	2461543.29608	1.84005387065	5586335.53636	1077289.43016	97855.8023333	743365.768608	23.6643632094	2652790.31753	453983.208526	47078.5059069	320839.755442	21.1968809095	2313095.1376	407902.27928	42264.2089225	288563.751582	18.2207802817	1614341.93088	790121.080317	25000.4109301	6495.11781436	413755.473454	353546.812416	7989.48383532	2454582.21437	1664025.55736	37102.4453007	12411.6867845	860989.17363	684748.955183	8612.22378239	1513128.62982	739303.960168	23147.1914364	5917.76758593	391834.445057	328689.71566	5521.57150458	13791545.898	9046354.60082	230384.289552	76051.6711925	4754083.8711	4067977.25062	21537.6613299	1.24288948987	0.347595988024	0.231257206345	0.0996721067144	0.0635164748497	2.12081369662	0.920880831516	0.367550881294	5.78313292174	0.185510443983	2.29809458279	6794204.11921	1353426.89992	122413.926557	953578.142929	16.2305195678	4843399.66826	3059951.29967	78908.5843049	25219.0608443	1605165.74081	1358740.68347	10915.235113
1	1	basicmath	4,5,6,7	1000	200	30.278258	-1	141		1.0799822695	0.916755319149	0.0693915319149	0.160325361702	1.21110815603	0.0299029432624	0.990381205674	0.10325164539	48.2978723404	48.085106383	50.0	47.2978723404	48.420212766	29502222.7745	5784512.55765	470077.5763	4057738.63524	79.8479248751	10851425.2655	1924558.09428	162468.73016	1277822.69803	280.408900202	9439884.09966	1555407.06615	129326.305583	926906.701027	466.168303284	6993738.53345	1235314.99948	93117.8935416	755743.540685	115.993208834	164422813.022	206122962.112	1237935.84947	713007.418434	110468387.854	66826562.1201	268060.082838	10432936.0834	8808674.89662	108621.617993	30059.1191038	4306041.20483	3269123.70217	17482.3086917	2223512.85678	918560.316864	28282.0150941	7410.98576326	479573.264295	399850.122172	6958.75734414	15240797.4861	9834118.65519	244902.34037	79565.1119686	5150552.04035	4366525.61746	48035.6723851	11.7656617043	1.13914702102	0.657146423344	0.660047692377	0.429764205403	79.2539666068	5.94883011865	0.314543208263	5.40084905978	0.721526335535	22.7295472484	14196817.6683	2624948.17939	213747.626396	1754552.89375	235.604584298	48080014.8621	56421078.9951	404935.455732	207510.658818	30101138.5908	18715515.3905	85134.2053146
2	2	bitcount	4,5,6,7	1000	200	30.277243	-1	140		1.08	0.916607142857	0.0672685714286	0.158876128571	1.211125	0.0283264357143	0.990410714286	0.102173621429	47.8285714286	48.0642857143	50.0214285714	47.0071428571	48.2303571429	21284104.5349	4238070.91919	374113.358926	3027193.1315	24.0959656941	7036317.52188	1218765.56095	115180.032025	854362.227458	35.8547806523	2614901.08259	413177.437092	42656.3289757	291031.365331	15.0893029889	1435547.33829	231447.270725	24350.7014399	164750.408717	6.8297484646	126077666.772	220475835.953	89868.6308753	25142.2009442	187478402.404	37355327.5496	19201.206269	45917386.5775	75285346.483	58456.6232288	16762.6285153	58226999.5131	15567677.7802	15007.7888158	26003300.5379	41703789.2508	40147.6859997	10781.4247254	30872690.9662	9161354.15047	8312.42814468	16274675.4897	12435788.3508	238085.803025	77664.3665695	7207647.09338	4981618.43954	28445.8705708	13.1271707572	0.390622530433	0.265768081243	0.0329163923634	0.0	63.8309142074	21.5071844719	12.4352216967	6.24484312354	0.17232675101	26.0045408749	8092717.61943	1525365.29699	139075.105342	1084334.28325	20.46744945	53568257.3443	87475190.0095	106639.685782	32587.6551886	70946434.9942	16766494.48	17741.8234501
3	3	qsort	4,5,6,7	1000	200	30.278428	-1	141		1.08	0.916258865248	0.0678638297872	0.161477014184	1.21090425532	0.0334626099291	0.99015070922	0.101568156028	47.3546099291	47.9858156028	49.304964539	46.9503546099	47.8989361702	29782309.9762	5635977.36515	471546.609441	4009179.34985	43.3582600663	6980833.9975	1215334.88612	110222.395454	845656.06437	35.2264086466	4733414.51802	728329.507317	71671.8166396	516738.015663	30.3377164883	5296624.09377	733832.235247	74796.1860726	529966.855986	39.3437507887	87068347.6259	107712998.934	631540.726376	138946.921745	53039864.4474	31145349.5783	518673.887383	100390078.324	130130318.562	387203.820721	219640.572883	63599951.9002	34624221.5272	345552.813497	2748329.83212	947533.388204	28396.062539	7803.22583228	505070.991371	417608.026087	12904.8600742	15082410.7563	9177052.56749	250261.115836	77090.5627384	4826738.20597	4121558.00563	125030.471574	12.6364926462	0.934135595323	0.177948946926	0.194150984297	0.32594614743	42.6051756554	50.4623674011	0.738727175512	5.39760406384	0.408045418494	24.800968574	11698295.6464	2078368.49846	182059.251902	1475385.07147	37.0665339975	51322291.6345	61991975.863	324350.431368	110870.3208	30492906.3862	17577184.2843	250540.508132
4	4	susan	4,5,6,7	1000	200	30.278007	-1	140		1.08	0.916285714286	0.067068	0.173214378571	1.21065178571	0.0293034714286	0.990232142857	0.100666521429	47.0785714286	47.4857142857	49.2857142857	46.2214285714	47.5178571429	25786839.6567	4805887.53001	434479.361309	3445033.76089	38.1813456073	7663125.59547	1322681.66479	125542.177068	934924.662814	27.7220382553	2553466.33182	385173.385126	38688.2293911	273048.719287	7.81065710735	1591704.78084	211257.526881	23351.2787546	152188.593425	9.30133348893	74668296.0944	130061274.428	144039.672721	35812.2517177	79399312.2808	34808978.6923	57031.812092	74658284.5283	130440638.451	132471.126178	38317.0229066	79049845.4548	34673307.1725	69774.977177	56933645.0249	99087706.629	116419.974383	31846.4419498	60674960.5016	26539816.6462	49819.4476873	20711313.0019	19519053.5883	266487.989395	84929.7070645	11097823.4391	6960535.86086	75949.8108731	13.8085457982	0.936799774738	0.198581926739	0.0332225913621	0.0330687830688	36.3967780532	36.4843405742	27.8121467985	8.59804535922	0.300418268977	27.3228276963	9398784.09119	1681250.0267	155515.261631	1201298.9341	20.7538436147	56742884.6624	94777168.2742	164854.690669	47726.3559096	57555485.4191	25745659.593	63144.0119574
5	5	jpeg_enc	4,5,6,7	1000	200	30.278738	-1	141		1.08	0.916507092199	0.0673123404255	0.157842205674	1.21118794326	0.0330821985816	0.990354609929	0.0999835460993	46.780141844	47.0212765957	49.0283687943	46.0141843972	47.2109929078	26112371.2274	4737960.17211	461524.643881	3474160.30592	25.8329819024	13579448.8466	2105315.53783	205075.680481	1501642.43693	79.7098939242	2017547.62214	225811.286382	24521.0553328	165361.463506	1.38979466288	1794705.07543	172086.021309	20946.932468	128730.357802	6.8873991541	64790587.9047	102234864.108	413650.543669	65268.1644694	48128258.0594	18716212.3285	241020.155878	49728052.4546	76277842.0026	351040.535827	62916.7729666	36717611.9231	14701842.6563	202047.450415	44037223.9658	66961256.9382	311903.858479	55338.7434503	32251014.7332	12946385.7713	189253.907192	27504705.2318	26759904.5245	387488.626209	105843.421844	14429445.4166	8454567.15241	208551.696439	11.06445883	0.508201167304	0.499777669359	0.0	0.0	31.0450684222	23.4753331226	20.8617033233	12.0873091656	0.251994709166	21.8673535084	10876018.1929	1810293.25441	178017.078041	1317473.64104	28.4550174109	46515142.3892	68058466.8933	366020.891046	72341.7756826	32881582.5331	13704751.9771	210218.302481
6	6	jpeg_dec	4,5,6,7	1000	200	30.283375	-1	134		1.08	0.916902985075	0.0678223880597	0.121654671642	1.21097947761	0.0309835373134	0.990167910448	0.0991759925373	46.0298507463	46.6791044776	48.3880597015	45.9776119403	46.7686567164	39770929.7556	7719828.96724	619236.30501	5471623.79148	5.60806638735	6641736.441	1077623.81413	104159.430581	752043.688693	25.315988335	11370092.6143	1636236.97507	162842.516833	1179683.96054	43.6669030535	2753077.91381	326455.868526	37359.1598535	236718.926539	16.8695035065	24634821.1998	23926269.7901	350266.667736	87507.1276316	11251611.445	5856965.59062	165291.567407	23134224.2391	22230605.3694	328469.214815	82779.3394874	10450189.6519	5461551.79841	125842.063913	20125162.0526	18753956.0467	290248.866059	72864.4623096	8854368.54585	4731593.06001	112941.919669	27713264.8828	22276654.2887	436118.93353	124321.692745	10980494.7297	7294169.01392	121652.048502	5.5922557084	1.26464314085	0.27323306428	0.491788811064	0.0643691519867	11.3290176135	11.0167952719	8.80051797529	11.553326153	0.523508542046	10.6749142534	15133959.1812	2690036.40624	230899.35307	1910017.59181	22.8651153206	23901868.0936	21796871.3737	351275.920535	91868.1555435	10384166.0931	5836069.86574	131431.899873
7	7	typeset	4,5,6,7	1000	200	30.281619	-1	140		1.08	0.9163125	0.066366	0.1637301	1.21123214286	0.0327139571429	0.990705357143	0.0990705785714	46.1	46.8142857143	48.1785714286	45.9785714286	46.7678571429	21986575.6727	4142119.13494	390577.315628	3006255.81408	28.855587051	6234307.87588	1135402.65168	106487.301136	785026.962861	19.342585248	1990245.18165	311746.033274	31210.9769924	221907.720631	2.78735689889	2748546.12598	410188.67199	41931.7708312	293828.415638	14.6120897001	119781301.832	114383331.459	1815263.38097	725343.766849	37027090.1657	30646290.9971	514363.947426	48901055.4621	49323083.6685	797210.413908	311519.037809	15946310.0304	13360517.5189	189754.147392	29705813.5049	29754984.5875	486439.642819	179687.603326	10028680.7719	8291531.53996	149105.713491	16903926.1468	11399148.2049	288996.197319	87812.931299	5754843.01433	4881754.79068	153397.344485	12.9350853523	0.640594683575	0.126185186335	0.0330687830688	0.0661375661376	58.4585228372	23.4906332187	14.3330940143	6.24340899121	0.216496554779	25.6314147654	8239918.71406	1499864.12297	142551.841147	1076754.7283	16.3994047245	53823024.2366	51215136.9801	846977.408755	326090.834821	17189230.9956	14295023.7116	251655.288199
8	8	dijkstra	4,5,6,7	1000	200	30.283141	-1	138		1.08	0.916322463768	0.0661147826087	0.150869485507	1.21124094203	0.0285636376812	0.990326086957	0.0987312101449	46.0	46.2028985507	48.0652173913	45.1086956522	46.3442028986	22535037.4423	4173382.85918	380233.87166	2978528.9181	35.482509029	7572642.37967	1345832.85558	131659.082413	961080.278622	32.3981139336	3758467.5743	659952.109744	60312.5769003	482155.164162	12.4833258909	1554554.44067	208685.863845	22233.2717703	151572.930825	7.81992603797	87660966.3032	90138580.1012	629684.24553	87444.7979803	45005249.1794	10924872.5049	23472.7176107	58452336.7927	59500329.1014	426231.127857	67105.2787152	29661926.6829	7484576.04914	18971.0775998	46177404.7961	46837633.4484	325636.90082	54699.5066869	23365245.5185	5966386.20886	14908.025099	21126361.9468	16014305.7226	279008.143746	93565.4370904	8173056.24961	5212340.30226	36409.5057295	12.9592236535	0.707861516171	0.167308014054	0.0678851008897	0.0335480407944	44.9780083459	26.9750369955	22.0140801318	8.56185863676	0.244150667977	25.6322460275	8855175.45922	1596963.42209	148609.700686	1143334.32293	22.0459687229	53354267.4597	53122712.0934	415140.104488	75703.7551182	26551369.4076	7397043.76629	23440.3315098
9	9	patricia	4,5,6,7	1000	200	30.281132	-1	141		1.08	0.916338652482	0.0661634042553	0.154139368794	1.21111702128	0.0312513758865	0.99015070922	0.0981694184397	45.914893617	46.0141843972	48.0	45.0	46.2322695035	22492838.2422	4282264.50412	366877.418695	3049866.23331	28.3992071807	6095215.06759	1109517.25706	101649.361564	767826.496225	24.3107607631	3391237.80905	539920.079945	55520.5712366	384291.087025	20.898403277	2448407.81657	403335.140762	38466.6356101	280883.557765	12.6153785718	138641955.566	140475409.123	2149155.67425	418084.115261	79271800.7296	41813424.8275	307640.997741	50983279.7351	50395826.0409	802326.219256	146029.157195	28312293.3484	15049821.5126	81987.0364984	2890393.111	1582169.83942	37563.9517896	12322.7667381	828988.794897	668018.748777	12219.7648191	14747542.5588	9445400.32078	245152.708341	78001.0196806	4961781.81363	4190565.93373	85504.8249616	12.4582588017	0.596568670067	0.114918837562	0.0985027580772	0.0986554755316	66.5772012157	24.6365652319	1.56899286464	5.6817015347	0.227161435309	24.6161152117	8606924.73385	1583759.24547	140628.496776	1120716.84358	21.5559374482	51815792.7426	50474701.331	808549.638409	163609.264719	28343716.1716	15430457.7556	121838.156005
